id,youtube_url,title,caption,synopsis,release_date,duration,language,country,thumbnail_url
d3qf4GGNeFg,https://www.youtube.com/watch?v=d3qf4GGNeFg,BOYS AND TOYS,A woman hits on a younger guy at a bar. But it's awkward when she already knows him.,"Abby is out with her friend Olivia at a bar in New York. Both women are ogling men they aim to take home for the night, though Abby is difficult to please because most men there seem too young for the 30-something adjunct professor.
But when Olivia connects with someone at the bar, leaving Abby at loose ends, Abby decides to barrel forward with a young prospect named Tyler, who seems interested. But she has an unexpected connection to Tyler, leaving Abby to confront just how hard ""adulting"" can be.",2021-02-04,743.0,English,USA,assets/thumbnails/d3qf4GGNeFg.webp
3p7KPwNtxlI,https://www.youtube.com/watch?v=3p7KPwNtxlI,THE WILDS,A woman gets an urgent call from her estranged mother. Her troubled brother is back.,"Anna Wild is an artist and metal sculptor who has been somewhat estranged from her exasperating family. But one day, she receives an urgent phone call from her desperate-sounding mother, Helen. Anna’s troubled brother Graham has returned to the family home and there's an emergency related to his ""condition."" Helen needs Anna’s help with him right away -- and definitely before nightfall.
Reluctantly Anna returns to the family home, where she re-encounters many of the feelings, relationships and situations that drove her away in the first place. But the emergency will also remind her of her family's loyalty and love -- and how, sometimes, family may be the only people who understand.",2023-06-30,897.0,English,USA,assets/thumbnails/3p7KPwNtxlI.webp
jmzY3KAkhNc,https://www.youtube.com/watch?v=jmzY3KAkhNc,RED LIGHT,A man tries to convince a prostitute to run away with him. But all is not as it seems.,"Kelly works for Leon as a sex worker, where she receives customers in a room illuminated by the characteristic red light of their neighborhood. Leon occasionally treats Kelly nicely, buying her presents for her birthday, and he promises that their work arrangement is temporary, as they're saving up money for a brighter, better future.
But when her regular client Ben arrives for his usual appointment that week -- he pays, but he never has sex with her -- he has a proposition. He's moving, and he wants Kelly to run away with him. He promises her stability and safety, and an escape from an increasingly sordid life with Leon.",2021-12-08,706.0,English,USA,assets/thumbnails/jmzY3KAkhNc.webp
vgKDcvaIRZU,https://www.youtube.com/watch?v=vgKDcvaIRZU,BLACK SWELL,"A man perhaps to kill himself in a motel room, but struggles to do it with the racket of loud music coming from the room next door.","A man confined himself to a motel room out in Long Island on a desolate night full of tumultuous wind. Distraught and depressed, he settles into the room and takes out a gun, clearly intending to use it against himself.
But before he can do anything, loud heavy metal music plays in the neighboring room. Distracted and annoyed, he leaves his room to go next door and ask his neighbor to turn down the music, only to be recognized by the neighbor as Mr. Fennimore, his former teacher. The student, named Jordan, attempts to engage his erstwhile teacher in conversation, but is a reminder of the past enough to distract Mr. Fennimore from his grim purpose?",2019-06-03,523.0,English,USA,assets/thumbnails/vgKDcvaIRZU.webp
3-7IY1VNKuA,https://www.youtube.com/watch?v=3-7IY1VNKuA,GAME,A young boy struggles to accept the loss of his mother while his sister copes through violence.,"Jack is a young boy who is often isolated and alone. He struggles in the wake of his mother's death. He also is bullied by his sister, who subjects him to twisted games of surprisingly menace.
He struggles with the emptiness, tension and cruelty of his world, often taking refuge in the woods near his home and nursing the memories of his deceased mother. But after one game too many, eventually Jack asserts himself against his sister, leveling the same coiled threat against her that was used against him.",2019-09-16,839.0,English,USA,assets/thumbnails/3-7IY1VNKuA.webp
X5S2F1TLSvs,https://www.youtube.com/watch?v=X5S2F1TLSvs,STOP,A traffic stop turns sinister when two black men encounter a small-town cop on a power trip.,"Three people -- two Black men, and one white woman -- are traveling in a car at night. Glen is trying to get to his family in the midst of a medical emergency, and he's trying to travel as quickly as possible.
But when they're stopped on the way by a cop, things take an ominous turn as they're subjected to questions and demands undergirded by pernicious assumptions. As the passengers navigate the interrogation and police officer tightens his focus on the passengers, the situation escalates into a potential powder keg, threatening to detonate with just one small wrong move.",2019-11-07,696.0,English,USA,assets/thumbnails/X5S2F1TLSvs.webp
_FGJMU7-oNk,https://www.youtube.com/watch?v=_FGJMU7-oNk,MAKE IT HAPPEN,A determined athlete wrestles with his inner demons while faced with the opportunity of a lifetime.,"Akeem dreams of becoming a pro football player, which will help him free his mother from a life of poverty. He trains hard for his opportunity every day, pushing his body and mind as much as he can.
After months of training, he gets an invitation to a private team workout taking place in five days, where he can catch the eyes of the scouts and coaches who matter. The opportunity inspires Akeem, but it also gives rise to panic attacks. As the workout approaches, he continues to train relentlessly despite his fear -- but also edges closer to anxiety that may derail his hopes and dreams.",2021-09-09,1108.0,English,USA,assets/thumbnails/_FGJMU7-oNk.webp
uGAKa1PMe1w,https://www.youtube.com/watch?v=uGAKa1PMe1w,FOR YOU ft. Barry Keoghan,"A young girl struggles with an alcoholic mother and entering adulthood, until an act of devotion from her boyfriend offers relief and the strength to love.","Lana is a young Irish teen dealing with the difficulties of inner city Dublin and an alcoholic mother. But in the midst of it all, she's still a young woman coming of age and preparing to go to the Irish version of the prom -- the ""debs"" -- with her boyfriend Darren.
But when her preparations for the big event are in danger of derailment from her mother -- and her social anxieties about fitting in can't be allayed easily -- Lana's big night is almost ruined. But Darren offers her an act of devotion that offers her support and shelter, giving her the strength to give and receive love.",2019-04-30,748.0,English,USA,assets/thumbnails/uGAKa1PMe1w.webp
qvU6rjCOaVc,https://www.youtube.com/watch?v=qvU6rjCOaVc,THE BOOK OF RUTH,A grandmother reveals a secret after a family dinner.,"Ruth is getting a visit from her daughter and grandchildren, gathering together for Passover. It's a warm, loving celebration, full of food, conversation and family. But her granddaughter Lizzy has something she wants to discuss.
Lizzy knows something about her grandmother, something that could change the cultural fabric of the world. But when she tries to bring it up, Ruth wriggles out of the conversation -- until she realizes she can't fool her smart granddaughter anymore. What follows is the surfacing of a long-held family secret, a woman confronting the pain of her past and a meditation on what being our true selves really means.",2022-11-08,848.0,English,USA,assets/thumbnails/qvU6rjCOaVc.webp
gqCNnEeifkg,https://www.youtube.com/watch?v=gqCNnEeifkg,37 THINGS,A man has a brain condition that prevents him from knowing more than 37 things.,"Timothy Owen has a unique brain: he can only remember 37 things at a time. As a result, he often has a hard time recalling important things because they're often muscled out by useless data, and his life often feels tenuous and uncertain.
He fights to hold onto his most precious memory: that of a woman named Emily, whom he loved. But as the world gets denser with information, his hold onto Emily's memory is challenged.",2022-01-26,900.0,English,USA,assets/thumbnails/gqCNnEeifkg.webp
gCOBaDBnTAY,https://www.youtube.com/watch?v=gCOBaDBnTAY,LOST IN SOUND,"A woman, whose life has been accompanied by a cinematic score, struggles to connect with people.","A young woman -- played by actress Nora Zehetner -- constantly hears a movie score in her head, making her ordinary life seem cinematic and beautiful. But it also keeps her from connecting with other people as she drifts in and out of her own world. No one else can compete with the soundtrack in her mind.",2018-08-12,440.0,English,USA,assets/thumbnails/gCOBaDBnTAY.webp
9E7pXW7zOkA,https://www.youtube.com/watch?v=9E7pXW7zOkA,SERGEY'S FORTUNE,A hitman gets in trouble with the boss after his mission is compromised by obnoxious YouTube stars.,"Sergey, a hard-boiled man who works in Little Odessa, is on a mission to redeem himself with his boss after botching an assignment. A consummate professional, he wants to fix his mistakes, not just for his reputation but for his own pride.
But things go awry in the middle of his attempt to fix everything, and in the worst place possible: the middle of the desert. When his car breaks down, the only people around who can lend a hand are a group of ""bro-y"" YouTubers called the DGAF Bros.
Much to the befuddlement of the hitman, the DGAF crew turn the occasion into a video for their channel. As much as the hitman tried to take control of the situation, the YouTubers' obnoxiousness proved to be more formidable an obstacle than Sergey could have imagined -- and ultimately endangers the mission.",2020-06-29,983.0,English,USA,assets/thumbnails/9E7pXW7zOkA.webp
5Ziuk7D71eo,https://www.youtube.com/watch?v=5Ziuk7D71eo,WILL 'THE MACHINE',A high school football star meets his match -- and must choose between making a friend or crushing his competition.,"Will is a dedicated athlete in Richmond, Virginia, with professional aspirations. But there's a difference between dedication and obsession... and Will is obsessed to the point of never smiling, never relaxing and never connecting with his fellow teammates. He trains relentlessly, earning the nickname ""The Machine.""
But one day while training at a park, Will encounters a new, seemingly casual athlete named Joe, a young man who with seemingly little effort becomes his rival in terms of skill, speed and strength. Confronted with his limitations during a series of increasingly tense contests, Will reveals just how off-kilter he is.",2019-11-18,822.0,English,USA,assets/thumbnails/5Ziuk7D71eo.webp
EvfffIIJ0d0,https://www.youtube.com/watch?v=EvfffIIJ0d0,ONLY IN DREAMS,A man attends the wedding of his ex-girlfriend. Then he's inundated with strange visions that leads to outbursts and threaten to overwhelm his reality.,"Jacob attends the wedding of his ex-girlfriend Amber, well after he and Amber decided to ""just friends."" But as he drifts through the reception, dealing with awkward conversations, he is inundated with strange visions that leads to outbursts and threaten to overwhelm his reality.
Soon these dreams begin to mix in memories of his past romance with Amber, destabilizing him and putting him face-to-face with his regret. But eventually Jacob must untangle his past memories and present fantasies in order to finally speak his truth -- and move forward into his future with a new sense of honesty.",2019-02-21,955.0,English,USA,assets/thumbnails/EvfffIIJ0d0.webp
63lDVURCJuk,https://www.youtube.com/watch?v=63lDVURCJuk,THE JESTER'S SONG,A lone scavenger fights to survive after a massive apocalyptic event.,"The Rapture has happened, and most of the population has disappeared, leaving behind a desolate, empty world. Those left behind must scavenge, scrap, fight and even kill to survive.
Amid this landscape, a lone scavenger named Thomas makes his way through the world. Pitiless and willing to do anything to survive, he isn't afraid to inflict violence. But when he comes face to face with a remnant of the past, it awakens dormant emotions in him, ones he thought were long forgotten.",2022-08-05,689.0,English,USA,assets/thumbnails/63lDVURCJuk.webp
VJsornTnc3g,https://www.youtube.com/watch?v=VJsornTnc3g,SNOW,A young boy accidentally injures a girl and abandons her to look after his grief-stricken family. But he feels guilty and he sets back out to find her.,"A young 11-year-old boy named Sam is playing with his friend outside in the snow when he accidentally knocks her unconscious.
Overwhelmed and seemingly ashamed, he leaves her to go back to his home, where he is essentially the head of household after the death of his father. Sam is burdened with caring for his brother and himself, since his mom is rendered immobile by her overwhelming grief.
But as a storm comes into the area, Sam decides to head back to help his friend, only to find her gone. His policeman uncle comes by his home, seemingly on the trail of the now missing girl, and Sam finds himself in a situation that just may be too much for him.",2019-03-21,1158.0,English,USA,assets/thumbnails/VJsornTnc3g.webp
9mPH4jm2eZQ,https://www.youtube.com/watch?v=9mPH4jm2eZQ,BEN,Ex-lovers must confront their painful past to complete a hike together.,"Joel and Millie used to be a love-struck couple, but things have changed. Two years ago they climbed Ben A'an, a hill in the highlands of Scotland, where they shared news that would forever bond them as a pair. But now, two years later, they return to the mountain and are in a much different place. Wedding rings are off, talk is strained, and they are both distant and awkward around one another.
As they re-climb Ben A'an, they set off to close the chapter of another milestone in their life, one that took its toll on Joel and Millie. But as they embark on their quest, they confront the distance that has grown between them and exactly what happened to cause it.",2022-03-15,1519.0,English,USA,assets/thumbnails/9mPH4jm2eZQ.webp
EnYZX6z64lo,https://www.youtube.com/watch?v=EnYZX6z64lo,THE LANDING,A man returns to his childhood farm on a mission to unearth the horrifying truth of what landed there in the summer of 1960.,"As a child in the summer of 1960, Edward lives with his father on a Midwestern farm, with no mother in the picture and a palpable, almost lonely quiet around them.
One night, he and his dad watched something land in a field. Whatever has landed seems to unleash his father's inner turmoil, and haunted the young boy as he grew into a man. Years later, Edward goes to unearth the truth of what just happened -- and reckons with the legacy and shadow that it cast on him and his family.",2019-11-06,1067.0,English,USA,assets/thumbnails/EnYZX6z64lo.webp
7Vq4Nf-zJoc,https://www.youtube.com/watch?v=7Vq4Nf-zJoc,PRESENTATION,An anxiety-ridden high school sophomore is faced with the challenge of giving a class presentation.,"Young teen Holly is tasked with the assignment of giving a presentation in front of class. But she finds the idea beyond daunting, and feelings of crippling doubt and self-consciousness begin to bubble up in her.
She tries to get help, whether it's in the form of her family or a clueless guidance counselor. But all her attempts only make her feel freakish and alone -- as if she's the only one in the world who has these feelings. Holly then must face her fear despite her lack of support, and get through this hurdle on her own.",2018-11-07,723.0,English,USA,assets/thumbnails/7Vq4Nf-zJoc.webp
rVBhvVK8RwM,https://www.youtube.com/watch?v=rVBhvVK8RwM,LONG BRANCH,"On a cold winter's night, a woman's quest for a one night stand is complicated when the guy she goes home with lives two hours away via public transit.","On a cold winter night, Lynn just wants a one-night stand. As she kisses the slightly dorky guy outside a club in Toronto, she thinks she's found it.
But he lives two hours away via public transit, which makes her ""no strings attached"" encounter suddenly complicated.
As the couple get on the subway and then on a bus, what starts out as excitement gets awkward fast. But as things get real, what begins as a fleeting encounter becomes much more interesting.",2018-02-27,824.0,English,USA,assets/thumbnails/rVBhvVK8RwM.webp
gNVqRC4mcSI,https://www.youtube.com/watch?v=gNVqRC4mcSI,THE BOX,The box is full of miserable creatures -- but one of them doesn't belong there.,"In a strange, dark box lives a group of box-headed elderly humanoid creatures with roots instead of legs. Most of these creatures are sunken into a catatonic sleep, unaware of anything outside their hermetic, sealed-off world.
But one of them emerges from the crowd, stunned into consciousness. Young and growing, the creature starts to cause a joyful ruckus, but struggles against the disapproval and rancor of the rest of his box-dwellers. But then the youngster begins to fight back, looking for a way outside the box but coming against its most oppressive forces yet.",2019-08-13,742.0,English,USA,assets/thumbnails/gNVqRC4mcSI.webp
wxyu1AQ1pls,https://www.youtube.com/watch?v=wxyu1AQ1pls,THOSE WE CARRY,A terminally-ill woman goes to a cabin in the woods to die with dignity.,"A mother and her adult daughter are spending the weekend at a cabin in the woods in California. But the pair are close, but this is no ordinary trip for them. The mother is terminally-ill, and she has decided to end her life on her terms. They're spending one last weekend together before she goes.
In many ways, it's a peaceful, pleasant weekend, though marred by the mother's physical suffering. They enjoy the quiet of the remote setting. But even as mother and daughter spend time together, they're aware that their final goodbyes are on the horizon.",2023-06-01,804.0,English,USA,assets/thumbnails/wxyu1AQ1pls.webp
